"Site.Name","Date","COUNTY","meanlat","meanlong","year","month","PM2.5","Ozone"
"Bryson City",2020-03-10,"Swain",35.434767,-83.442133,2020,3,45,37.5
"Bryson City",2020-03-11,"Swain",35.434767,-83.442133,2020,3,38.5,30
"Bryson City",2020-03-12,"Swain",35.434767,-83.442133,2020,3,23,43
"Bryson City",2020-03-13,"Swain",35.434767,-83.442133,2020,3,37.5,45
"Bryson City",2020-03-14,"Swain",35.434767,-83.442133,2020,3,26,42
"Bryson City",2020-03-15,"Swain",35.434767,-83.442133,2020,3,34,52.5
"Bryson City",2020-03-16,"Swain",35.434767,-83.442133,2020,3,43,54
"Bryson City",2020-03-17,"Swain",35.434767,-83.442133,2020,3,44,45
"Bryson City",2020-03-18,"Swain",35.434767,-83.442133,2020,3,35,44
"Bryson City",2020-03-19,"Swain",35.434767,-83.442133,2020,3,39,42.5
"Bryson City",2020-03-20,"Swain",35.434767,-83.442133,2020,3,25,43.5
"Bryson City",2020-03-21,"Swain",35.434767,-83.442133,2020,3,35,41
"Bryson City",2020-03-22,"Swain",35.434767,-83.442133,2020,3,29,46
"Bryson City",2020-03-23,"Swain",35.434767,-83.442133,2020,3,31,47
"Bryson City",2020-03-24,"Swain",35.434767,-83.442133,2020,3,46,55.5
"Bryson City",2020-03-25,"Swain",35.434767,-83.442133,2020,3,40,36.5
"Bryson City",2020-03-26,"Swain",35.434767,-83.442133,2020,3,24,42.5
"Bryson City",2020-03-27,"Swain",35.434767,-83.442133,2020,3,28,39
"Bryson City",2020-03-28,"Swain",35.434767,-83.442133,2020,3,39,41.5
"Bryson City",2020-03-29,"Swain",35.434767,-83.442133,2020,3,40.5,47.5
"Bryson City",2020-03-30,"Swain",35.434767,-83.442133,2020,3,31.5,46.5
"Bryson City",2020-03-31,"Swain",35.434767,-83.442133,2020,3,20.5,43.5
"Bryson City",2020-04-01,"Swain",35.434767,-83.442133,2020,4,22.5,45.5
"Bryson City",2020-04-02,"Swain",35.434767,-83.442133,2020,4,36.5,44.5
"Bryson City",2020-04-03,"Swain",35.434767,-83.442133,2020,4,44.5,44.5
"Bryson City",2020-04-04,"Swain",35.434767,-83.442133,2020,4,31.5,50.5
"Bryson City",2020-04-05,"Swain",35.434767,-83.442133,2020,4,26.5,44
"Bryson City",2020-04-06,"Swain",35.434767,-83.442133,2020,4,30,37.5
"Bryson City",2020-04-07,"Swain",35.434767,-83.442133,2020,4,24,36.5
"Bryson City",2020-04-08,"Swain",35.434767,-83.442133,2020,4,16,32
"Bryson City",2020-04-09,"Swain",35.434767,-83.442133,2020,4,16.5,37
"Bryson City",2020-04-10,"Swain",35.434767,-83.442133,2020,4,25,44.5
"Bryson City",2020-04-11,"Swain",35.434767,-83.442133,2020,4,28,45
